text,label
"Aliens land in New York, thousands dead",0
"President announces new economic policy",1
"Drinking bleach cures all diseases",0
"Local team wins the championship",1
"The earth is actually flat and scientists know it",0
"New study shows benefits of regular exercise",1
"Secret government plot to chip everyone with vaccines",0
"Stock market closes at record high",1
"Ghosts seen invading the White House",0
"Mayor opens new park in downtown",1
"Water is turning frogs gay",0
"Company releases new smartphone model",1
"Time traveler from 2050 warns us",0
"University professors discover new particle",1
"Moon landing was filmed in a studio",0
"Global temperatures rise by 1 degree",1
"Elvis is alive and well living in Argentina",0
"New law passed to reduce carbon emissions by 20%",1
